# visionSample, x, y, visX, visY, angle, rawDist, rawAngle, distM, distC, angleC, angleM, distRSquared, angleRSquared
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 -1.0 -1000.0 0.0 0.0 0.0 0.0 0.0 0.0 
4 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.565703527752 -0.9375 0.0 0.0 0.0 0.0 0.0 0.0 
6 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
6 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
6 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
6 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
7 -1000.0 -1000.0 -1000.0 -1000.0 -370.0 0.527280675762 -0.96875 0.0 0.0 0.0 0.0 0.0 0.0 
