# visionSample, x, y, visX, visY, angle, rawDist, rawAngle, distM, distC, angleC, angleM, distRSquared, angleRSquared
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.92999982834 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.92000007629 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.92000007629 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.92000007629 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.90000009537 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.90000009537 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.88999986649 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.88999986649 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.88999986649 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.88999986649 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.88000011444 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.88000011444 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.88000011444 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
12 0.9050207959 0.01442366311 17.9738924339 0.401286158115 5.86999988556 0.831487631547 -1.6875 9.0 1.0 1.0 2.5 0.0 0.0 
