# visionSample, x, y, visX, visY, angle, rawDist, rawAngle, distM, distC, angleC, angleM, distRSquared, angleRSquared
3223 0.0 0.0 0.0 0.0 -1.07000005245 0.730881682756 -0.75 9.0 1.0 1.0 2.5 0.0 0.0 
3229 1.47764166526 0.000279678713079 1.69210474225 0.119504137806 179.920000002 0.756534415836 -0.71875 9.0 1.0 1.0 2.5 0.0 0.0 
3234 1.52702205547 0.000254798879365 2.01088952593 0.100489062777 179.840000004 0.730881682756 -0.75 9.0 1.0 1.0 2.5 0.0 0.0 
3241 1.74596872951 -0.000945602050481 1.69385500423 0.203985048493 179.089999974 0.714869519626 -0.53125 9.0 1.0 1.0 2.5 0.0 0.0 
3245 2.25274019713 -0.00961519599872 2.07541317183 0.142235267729 178.909999967 0.721687836487 -0.34375 9.0 1.0 1.0 2.5 0.0 0.0 
3250 3.06509296457 -0.0212419860748 2.71747829144 -0.0204201519843 180.109999999 0.617707763884 -0.5 9.0 1.0 1.0 2.5 0.0 0.0 
3256 3.527215984 -0.0201129662499 3.36528450076 0.0474467768731 180.50999999 0.550815811549 -0.9375 9.0 1.0 1.0 2.5 0.0 0.0 
3263 3.97907383868 -0.0168265983242 3.70813510091 0.0960415568191 180.5 0.517919244041 -1.0 9.0 1.0 1.0 2.5 0.0 0.0 
3268 4.22782965541 -0.0137888617245 4.18237524924 0.118468433833 180.330000013 0.494879739041 -1.0 9.0 1.0 1.0 2.5 0.0 0.0 
3275 4.61541252929 -0.0115280620825 4.34230331782 0.0660548961841 180.610000014 0.474750109833 -0.984375 9.0 1.0 1.0 2.5 0.0 0.0 
3283 5.02252369775 -0.00573487347895 4.4875633242 0.0553355810537 181.179999948 0.420420496248 -1.1875 9.0 1.0 1.0 2.5 0.0 0.0 
3289 5.71363399274 0.0114180339283 5.0428937241 0.0818357909157 181.669999957 0.384206388403 -1.46875 9.0 1.0 1.0 2.5 0.0 0.0 
3295 5.93342083676 0.0179034122717 5.3857409793 0.119592927997 181.700000048 0.331832420751 -1.84375 9.0 1.0 1.0 2.5 0.0 0.0 
3301 6.3506494385 0.030003884459 5.58614759963 0.141975440785 181.549999952 0.305423610891 -2.0 9.0 1.0 1.0 2.5 0.0 0.0 
3308 6.72414501793 0.03939087719 5.91795724438 0.183103815553 181.230000019 0.262417482676 -2.09375 9.0 1.0 1.0 2.5 0.0 0.0 
3313 7.09396050507 0.0466515755019 6.32046474709 0.187924656308 180.930000007 0.228675541645 -2.1875 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.46753491063 0.0520691692748 6.63492198592 0.197582230138 180.680000007 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.66131718833 0.0542666780745 6.63492198592 0.197582230138 180.560000002 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.93429364543 0.0569578844703 6.63492198592 0.197582230138 180.49000001 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.90261703266 0.0566630708565 6.63492198592 0.197582230138 180.560000002 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.97621821127 0.057385712628 6.63492198592 0.197582230138 180.479999989 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.97621821127 0.057385712628 6.63492198592 0.197582230138 180.479999989 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.97901322997 0.0574091286692 6.63492198592 0.197582230138 180.469999999 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.97901322997 0.0574091286692 6.63492198592 0.197582230138 180.469999999 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.97901322997 0.0574091286692 6.63492198592 0.197582230138 180.460000008 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.97901322997 0.0574091286692 6.63492198592 0.197582230138 180.460000008 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.97901322997 0.0574091286692 6.63492198592 0.197582230138 180.460000008 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.93895123729 0.0570804908704 6.63492198592 0.197582230138 180.680000007 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.95478247614 0.0575640159674 6.63492198592 0.197582230138 183.119999886 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.90738701898 0.0541661790368 6.63492198592 0.197582230138 184.019999981 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.80224102026 0.0491277041502 6.63492198592 0.197582230138 180.620000005 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3318 7.79665093717 0.0490899783216 6.63492198592 0.197582230138 179.840000004 0.207986976762 -2.25 9.0 1.0 1.0 2.5 0.0 0.0 
3320 7.79665093717 0.0490899783216 6.63492198592 0.197582230138 180.0 0.145927101354 -2.234375 9.0 1.0 1.0 2.5 0.0 0.0 
3324 7.79665093717 0.0490899783216 7.05175389649 0.179197260433 179.970000001 0.161333977638 -2.0625 9.0 1.0 1.0 2.5 0.0 0.0 
3331 7.79665093717 0.0490899783216 7.03972240791 0.176705573851 179.970000001 0.166246042144 -1.96875 9.0 1.0 1.0 2.5 0.0 0.0 
3338 7.79665093717 0.0490899783216 7.0417072758 0.176563013832 179.970000001 0.166919090824 -2.0 9.0 1.0 1.0 2.5 0.0 0.0 
3344 7.83671427228 0.0490690012069 7.03972240791 0.176705573851 179.970000001 0.162957247712 -2.03125 9.0 1.0 1.0 2.5 0.0 0.0 
3350 8.14679994252 0.0429445125057 7.07212549936 0.435449307165 173.909999847 0.15997399674 -1.84375 9.0 1.0 1.0 2.5 0.0 0.0 
3350 8.18384231247 0.0388546701323 7.09992758367 0.438303990391 174.360000134 0.15997399674 -1.84375 9.0 1.0 1.0 2.5 0.0 0.0 
3350 8.18384231247 0.0388546701323 7.09992758367 0.438303990391 174.349999905 0.15997399674 -1.84375 9.0 1.0 1.0 2.5 0.0 0.0 
